Column1,Column3,Column6
5/20/2022,UDEMY: ONLINE COURSES,15.14
5/20/2022,TST* Craft Pies Pizza ComFlower Mound TX,2.98
5/20/2022,TST* Craft Pies Pizza ComFlower Mound TX,36.65
5/21/2022,GRAPEVINE CONVENTION & V GRAPEVINE,23
5/22/2022,WAL-MART #5092,8.26
5/22/2022,AMC 0175 GRAPEVINE 30,9.08
5/22/2022,AMC 0175 GRAPEVINE 30,18.15
5/22/2022,CHUYS SOUTHLAKE,36.7
5/22/2022,INDIA BAZAAR LEWISVILLE 2LEWISVILLE,16.97
5/22/2022,COSTCO GAS #0683,44.71
5/23/2022,HTTPSWWW.UDEMCA,2.17
5/24/2022,AASKYVIEW8CAF CAFE,2.65
5/26/2022,ALL SAFE PEST & TERMIT,75.76
5/26/2022,AASKYVIEW8CAF CAFE,2.27
5/26/2022,AASKYVIEW8CAF CAFE,2.64
5/26/2022,THE HOME DEPOT #6572,123.41
5/27/2022,COSTCO GAS #0683,28.31
5/27/2022,COSTCO WHSE #0683,397.84
5/28/2022,WAL-MART #5092,4.18
5/28/2022,HALF PRICE BOOKS #058,14.05
5/29/2022,TST* JAMBA JUICE - 103269ALLEN,6.59
5/29/2022,CJKEYMALL.COM,5.99
5/30/2022,WM SUPERCENTER #5092,5.76
5/30/2022,KROGER #0585,11.93
5/30/2022,KROGER #0585,25.72
5/30/2022,CHUYS FRISCO,40
5/30/2022,ACADEMY SPORTS #82,2.15
5/30/2022,INDIA BAZAAR LEWISVILLE 2LEWISVILLE,45.86
5/30/2022,TST* Craft Pies Pizza ComFlower Mound TX,27.08
6/1/2022,INDIA BAZAAR VALLEY RANCHIRVING,5.37
6/1/2022,STARBUCKS STORE 19882,7.14
6/2/2022,AASKYVIEW8CAF CAFE,2.81
6/3/2022,TST* CHOWRASTHA COPPELL,12.98
6/4/2022,ADYAR ANANDA BHAVAN,39.8
6/5/2022,7-ELEVEN 41523,2.48
6/5/2022,INDIA BAZAAR LEWISVILLE 2LEWISVILLE,7.97
